title,category
Apple iPhone 13 128GB smartphone,Electronics
Samsung Galaxy S23 Ultra 256GB phone,Electronics
Xiaomi Redmi Note 12 mobile phone,Electronics
Sony WH-1000XM4 wireless headphones,Electronics
Logitech MX Master 3S wireless mouse,Electronics
Dell Inspiron 15 laptop i5 16GB RAM,Electronics
HP LaserJet printer toner cartridge,Electronics
USB-C fast charging cable 2m,Electronics
Bluetooth speaker portable waterproof,Electronics
4K UHD smart TV 55 inch,Electronics
Men's cotton t-shirt black size L,Clothing
Women's summer dress floral medium,Clothing
Slim fit jeans men's blue 32,Clothing
Hoodie sweatshirt unisex gray,Clothing
Leather belt for men brown,Clothing
Running shoes women's size 38,Clothing
Winter jacket men's waterproof XL,Clothing
Socks pack of 10 pairs,Clothing
Sports leggings high waist,Clothing
Baseball cap adjustable cotton,Clothing
Organic basmati rice 1kg,Groceries
Extra virgin olive oil 1L,Groceries
Arabica coffee beans 1kg,Groceries
Green tea bags 100 pack,Groceries
Dark chocolate 70% cocoa bar,Groceries
Pasta spaghetti durum wheat 500g,Groceries
Tomato sauce canned 400g,Groceries
Peanut butter creamy 500g,Groceries
Breakfast cereal oats honey,Groceries
Mineral water sparkling 6x1.5L,Groceries
Non-stick frying pan 28cm,Home
Stainless steel kitchen knife chef 8 inch,Home
Vacuum cleaner bagless 2000W,Home
Cotton bedsheet set queen size,Home
LED desk lamp adjustable,Home
Air fryer 5L digital,Home
Electric kettle 1.7L,Home
Laundry detergent liquid 3L,Home
Bathroom towel set 4 pieces,Home
Scented candles vanilla pack,Home
Car engine oil 5W-30 5L,Automotive
Windshield wiper blades set,Automotive
Car phone holder dashboard,Automotive
Tire inflator portable compressor,Automotive
Car seat cover set universal,Automotive
Jumper cables heavy duty,Automotive
Car shampoo and wax kit,Automotive
Fuel system cleaner additive,Automotive
Parking sensor reverse kit,Automotive
USB car charger fast charge,Automotive
